id,sku,name,status,pdf_code,range,resolution,accuracy,notes
1063,1041-0007,"1,1.25,1.5,1.75,2,2.5,3,3.5,4 میلیمی تا 7 شابلون رزوه اینچ و — 0-70mm",matched,1041-0007-A,2-12,,,
1064,1041-2205,شابلون رنده پیچ بری 60درجه,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1065,1041-2215,شابلون رنده پیچ بری 60درجه,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1066,1051-0005,گپ سنج مخروط (گیج داخل مخروط) — 0-50mm,matched,1051-0005,1-6.5,0.1,±0.05,
1067,1051-0008,گپ سنج مخروط (گیج داخل مخروط) — 0-80mm,conflict,1051-0008,,,,"conflict_ranges:['3-15', '30-45']"
1068,1051-0302,پرگار معمویل — 0-200mm/0-8,unmatched,,,,,sku_not_in_pdf
1069,1051-0304,پرگار معمویل — 0-300mm,unmatched,,,,,sku_not_in_pdf
1070,1051-2010,گپ سنج مخروط (گیج داخل مخروط),matched,1051-2010,0.1-5,0.1,,
1071,1120-3113,کولیس ورنیه تیپ مونو بالک — 0-70mm/0-3,unmatched,,,,,sku_not_in_pdf
1072,1122-9001,سختی‌سنج شور داسکوا کد 1122-9001,conflict,1122-9001,,,,"conflict_ranges:['0-2', '0-2mm']"
1073,1305-0002,کولیس ورنیه دو فک بلند — 0-500mm,matched,1305-0002,0-500mm/0-20,0.001,±0.05,
1074,1305-0003,کولیس ورنیه دو فک بلند — 0-600mm,matched,1305-0003,0-600mm/0-24,0.001,±0.05,
1075,1305-0010,کولیس مونوبالک ورنیه فک بلند با — 0-500mm/0-20,matched,1305-0010,0-500mm/0-20,0.001,±0.12,
1076,1305-0025,36/5- کولیس مونوبالک ورنیه فک بلند با — 0-300mm/0-12,matched,1305-0025,0-300mm/0-12,0.001,±0.09,
1077,1310-0004,کولیس مونو بالک ورنیه فک بلند — 0-200mm/0-8,matched,1310-0004,0-200mm/0-8,0.001,±0.03,
1078,1310-0005,کولیس مونو بالک ورنیه فک بلند — 0-500mm/0-20,matched,1310-0005,0-500mm/0-20,0.001,±0.05,
1079,1310-0006,کولیس مونو بالک ورنیه فک بلند — 0-500mm/0-20,matched,1310-0006,0-500mm/0-20,0.001,±0.12,
1080,1310-0007,کولیس مونو بالک ورنیه فک بلند — 0-500mm/0-20,matched,1310-0007,0-500mm/0-20,0.001,±0.16,
1081,1310-0008,کولیس مونو بالک ورنیه فک بلند — 0-500mm/0-20,matched,1310-0008,0-500mm/0-20,0.001,±0.20,
1082,1310-0009,کولیس مونو بالک ورنیه فک بلند — 0-500mm/0-20,matched,1310-0009,0-500mm/0-20,0.001,±0.24,
1083,1310-0010,کولیس مونو بالک ورنیه فک بلند — 0-600mm/0-24,matched,1310-0010,0-600mm/0-24,0.001,±0.05,
1084,1310-0011,کولیس مونو بالک ورنیه فک بلند — 0-600mm/0-24,matched,1310-0011,0-600mm/0-24,0.001,±0.12,
1085,1310-0012,کولیس مونو بالک ورنیه فک بلند — 0-600mm/0-24,matched,1310-0012,0-600mm/0-24,0.001,±0.1,
1086,1310-0015,کولیس مونو بالک ورنیه فک بلند — 0-1000mm/0-40,matched,1310-0015,0-1000mm/0-40,0.001,±0.07,
1087,1310-0016,کولیس مونو بالک ورنیه فک بلند — 0-1000mm/0-40,matched,1310-0016,0-1000mm/0-40,0.001,±0.18,
1088,1310-0017,کولیس مونو بالک ورنیه فک بلند — 0-1000mm/0-40,matched,1310-0017,0-1000mm/0-40,0.001,±0.28,
1089,1310-0021,کولیس مونو بالک ورنیه فک بلند — 0-1500mm/0-60,matched,1310-0021,0-1500mm/0-60,0.001,±0.32,
1090,1310-0025,کولیس مونو بالک ورنیه فک بلند — 0-2000mm/0-80,matched,1310-0025,0-2000mm/0-80,0.001,±0.14,
1091,1310-0030,کولیس مونو بالک ورنیه فک بلند — 0-300mm/0-12,matched,1310-0030,0-300mm/0-12,0.001,±0.09,
1092,1310-0031,کولیس مونو بالک ورنیه فک بلند — 0-300mm/0-12,matched,1310-0031,0-300mm/0-12,0.001,±0.15,
1093,1310-0041,کولیس مونو بالک ورنیه فک بلند — 0-600mm/0-24,matched,1310-0041,0-600mm/0-24,0.001,±0.22,
1094,1310-0042,کولیس مونو بالک ورنیه فک بلند — 0-600mm/0-24,matched,1310-0042,0-600mm/0-24,0.001,±0.26,
1095,1310-0043,کولیس مونو بالک ورنیه فک بلند — 0-800mm/0-32,matched,1310-0043,0-800mm/0-32,0.001,±0.18,
1096,1310-0044,کولیس مونو بالک ورنیه فک بلند — 0-800mm/0-32,matched,1310-0044,0-800mm/0-32,0.001,±0.24,
1097,1310-0055,کولیس مونو بالک ورنیه فک بلند — 0-1500mm/0-60,matched,1310-0055,0-1500mm/0-60,0.001,±0.11,
1098,1310-0060,کولیس مونو بالک ورنیه فک بلند — 0-1000mm/0-40,matched,1310-0060,0-1000mm/0-40,0.001,±0.14,
1099,1310-0090,کولیس مونو بالک ورنیه فک بلند — 0-800mm/0-32,matched,1310-0090,0-800mm/0-32,0.001,±0.14,
1100,1310-0095,کولیس مونو بالک ورنیه فک بلند — 0-800mm/0-32,matched,1310-0095,0-800mm/0-32,0.001,±0.20,
1101,1310-0100,کولیس مونو بالک ورنیه فک بلند — 0-1000mm/0-40,matched,1310-0100,0-1000mm/0-40,0.001,±0.23,
1102,1331-2115,ساعت ( SHOCK PROOFضد رضبه) — 0-150mm,matched,1331-2115,0-150,0.02,±0.03,
1103,1331-2120,ساعت کولیس 1 — 0-200mm,matched,1331-2120,0-200,0.02,±0.03,
1104,1331-2130,کولیس ساعت 2 — 0-300mm,matched,1331-2130,0-300,0.02,±0.04,
1105,1350-5005,ساعت کولیس 3 — 0-150mm,matched,1350-5005,0-150,0.01,±0.03,
1106,1350-5010,کولیس ساعت 4 — 0-200mm,matched,1350-5010,0-200,0.01,±0.03,
1107,1350-5015,ساعت کولیس 5 — 0-300mm,matched,1350-5015,0-300,0.01,±0.04,
1108,1351-0005,شابلون شعاع سنج — 0-50mm,matched,1351-0005,1.0-7.0,,,
1109,1351-0010,شابلون شعاع سنج — 0-100mm,matched,1351-0010,7.5-15,,,
1110,1351-0015,شابلون شعاع سنج — 0-150mm,matched,1351-0015,15.5-25,,,
1111,1352-2010,شابلون شعاع سنج,unmatched,,,,,sku_not_in_pdf
1112,1380-3004,کولیس ورنیه تیپ مونو بالک — 0-100mm/0-4,unmatched,,,,,sku_not_in_pdf
1113,1380-3005,کولیس ورنیه تیپ مونو بالک — 0-150mm/0-6,matched,1380-3005,"0-150/0-6""","0.02/0.001""",,
1114,1380-3010,کولیس ورنیه تیپ مونو بالک — 0-200mm/0-8,matched,1380-3010,"0-200/0-8""","0.02/0.001""",,
1115,1380-3015,کولیس ورنیه تیپ مونو بالک — 0-300mm/0-12,matched,1380-3015,"0-300/0-12""","0.02/0.001""",,
1116,1500-1052,"1,1.25,1.5,1.75,2,2.5,3,3.5,4 میلیمی تا 7 شابلون رزوه اینچ و — 0-1052mm",unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1117,1704-0005,ضخامت سنج الکی — 0-50mm,matched,1704-0005-A,60-950,0.1,,
1118,1732-0035,ساعت مرکزیاب 1 — 0-35mm,matched,1732-0035,0.4-7.00,,,
1119,1801-1005,رفرنس یاب محور ( Zزد زیرو) دیجیتال IP65ضد آب — 0-1005mm,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1120,1801-2005,زاویه سنج نقاله ای دیجیتال — 20 سانت,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1121,1803-2110,ساعت مرکزیاب داسکوا کد 1803-2110,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1122,1803-4111,ساعت مرکزیاب داسکوا کد 1803-4111,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1123,1803-4112,ساعت مرکزیاب داسکوا کد 1803-4112,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1124,1803-4113,ساعت مرکزیاب داسکوا کد 1803-4113,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1125,1803-4114,ساعت مرکزیاب داسکوا کد 1803-4114,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1126,1803-4115,ساعت مرکزیاب داسکوا کد 1803-4115,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1127,1803-4116,ساعت مرکزیاب داسکوا کد 1803-4116,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1128,1803-4117,ساعت مرکزیاب داسکوا کد 1803-4117,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1129,1803-4118,ساعت مرکزیاب داسکوا کد 1803-4118,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1130,1803-4119,ساعت مرکزیاب داسکوا کد 1803-4119,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1131,1803-4120,ساعت مرکزیاب داسکوا کد 1803-4120,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1132,1803-4121,ساعت مرکزیاب داسکوا کد 1803-4121,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1133,1803-4122,ساعت مرکزیاب داسکوا کد 1803-4122,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1134,1803-4123,ساعت مرکزیاب داسکوا کد 1803-4123,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1135,1803-4124,ساعت مرکزیاب داسکوا کد 1803-4124,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1136,1803-4125,ساعت مرکزیاب داسکوا کد 1803-4125,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1137,1803-4126,ساعت مرکزیاب داسکوا کد 1803-4126,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1138,1803-4127,ساعت مرکزیاب داسکوا کد 1803-4127,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1139,1803-4128,ساعت مرکزیاب داسکوا کد 1803-4128,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1140,1803-4129,ساعت مرکزیاب داسکوا کد 1803-4129,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1141,1803-4130,ساعت مرکزیاب داسکوا کد 1803-4130,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1142,1803-4131,ساعت مرکزیاب داسکوا کد 1803-4131,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1143,1803-4132,ساعت مرکزیاب داسکوا کد 1803-4132,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1144,1804-0005,نقاله زاویه یاب آلومینیویم — 0-50mm,unmatched,,,,,sku_not_in_pdf
1145,1804-1005,ی خط کش استیل 3کاره ( خط کش ؛ عمق سنج و عالمت گذاری) ی — 0-1005mm,unmatched,,,,,sku_not_in_pdf
1146,1804-1006,نقاله زاویه سنج خر پا — 0-1006mm,unmatched,,,,,sku_not_in_pdf
1147,1804-1007,دیجیتالShore D — 0-1007mm,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1148,1804-1010,پرگار داخل سنج دیجیتال با دسته — 0-1010mm,matched,1804-1010,"12.7-165/0.5-6.5""","0.1/0.005""/1/64""","0.2/0.01""",
1149,1804-1015,پرگار داخل سنج دیجیتال با دسته — 0-1015mm,matched,1804-1015,"12.7-257.4/0.5-8.5""","0.1/0.005""/1/64""","0.3/0.02""",
1150,1804-1020,/ /1 پرگار بی ر — 0-150mm/0-6,matched,1804-1020,"0-150/0-6""","0.1/0.005""/1/64""","0.2/0.01""",
1151,1804-1025,/ /1 پرگار بی ر — 0-200mm/0-8,matched,1804-1025,"0-200/0-8""","0.1/0.005""/1/64""","0.3/0.02""",
1152,1804-1035,ی سنج پالستیک و الستیک و ... — 0-1035mm,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1153,1804-1045,سخت سنج پالستیک و الستیک و ... — 0-1045mm,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1154,1804-1065,کولیس دیجیتال نمایشگر بزرگ — 0-150mm/0-6,conflict,1804-1065,,,,"conflict_ranges:['0-150/0-6""', '0-150mm/6']"
1155,1804-1070,کولیس دیجیتال نمایشگر بزرگ — 0-200mm/0-8,matched,1804-1070,"0-200/0-8""","0.01/0.0005""/1/128""","0.03/0.0015""",
1156,1804-1075,کولیس دیجیتال نمایشگر بزرگ — 0-300mm/0-12,matched,1804-1075,"0-300/0-12""","0.01/0.0005""/1/128""","0.03/0.0015""",
1157,1804-1090,سخت سنج پالستيك و الستيك و ...ساعتي — 0-1090mm,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1158,1804-1095,ی ي Shore A — 0-1095mm,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1159,1804-1100,ساعتي Shore C — 0-1100mm,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1160,1804-1102,ی خط کش استیل 3کاره ( خط کش ؛ عمق سنج و عالمت گذاری) ی — 0-1102mm,unmatched,,,,,sku_not_in_pdf
1161,1804-1103,نقاله زاویه سنج خر پا — 0-1103mm,unmatched,,,,,sku_not_in_pdf
1162,1804-1104,نقاله زاویه سنج خر پا — 0-1104mm,unmatched,,,,,sku_not_in_pdf
1163,1804-1106,خط کش زاویه سنج 90درجه — 0-1106mm,unmatched,,,,,sku_not_in_pdf
1164,1804-1107,خط کش زاویه سنج 45درجه و 90 — 0-1107mm,unmatched,,,,,sku_not_in_pdf
1165,1804-1115,رنیو سنج دیجیتال — 0-1115mm,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1166,1804-1120,رنیو سنج دیجیتال — 0-1120mm,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1167,1804-1125,رنیو سنج دیجیتال — 0-1125mm,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1168,1804-1130,ساعت رنیوسنج — 0-1130mm,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1169,1804-1131,ساعت رنیوسنج — 0-1131mm,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1170,1804-1132,ساعت رنیوسنج — 0-1132mm,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1171,1804-1133,ساعت رنیوسنج — 0-1133mm,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1172,1804-1165,رنیو سنج دیجیتال — 0-1165mm,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1173,1804-1170,رنیو سنج دیجیتال — 0-1170mm,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1174,1804-1175,رنیو سنج دیجیتال — 0-1175mm,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1175,1804-1215,کولیس ورنیه آلومینیوم (مناسب کارهای آهنگری و نجاری و )... — 0-610mm/24,unmatched,,,,,sku_not_in_pdf
1176,1804-1405,گیج مرکزیاب — 0-1405mm,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1177,1804-1710,گیج مرکزیاب — 0-1710mm,unmatched,,,,,sku_not_in_pdf
1178,1804-2005,ضخامت سنج رنگ دیجیتال,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1179,1804-2010,ضخامت سنج رنگ دیجیتال,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1180,1804-2015,ضخامت‌سنج پوشش داسکوا کد 1804-2015,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1181,1804-2405,محدوده سوزن محدوه اندازه,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1182,1804-4613,ی سنج پالستیک و الستیک و ...دیجیتال,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1183,1804-5111,شابلون شعاع گوشه,unmatched,,,,,sku_not_in_pdf
1184,1804-5116,شابلون شعاع گوشه,unmatched,,,,,sku_not_in_pdf
1185,1804-5221,شابلون شعاع گوشه,unmatched,,,,,sku_not_in_pdf
1186,1804-5223,شابلون شعاع گوشه,unmatched,,,,,sku_not_in_pdf
1187,1804-5331,گونیا تنظیم زاویه متغیی,unmatched,,,,,sku_not_in_pdf
1188,1804-5336,گونیا تنظیم زاویه متغیی,unmatched,,,,,sku_not_in_pdf
1189,1804-5341,گونیا تنظیم زاویه متغیی,unmatched,,,,,sku_not_in_pdf
1190,1804-5441,گونیا تنظیم زاویه متغیی,unmatched,,,,,sku_not_in_pdf
1191,1804-5771,گونیا تنظیم زاویه متغیی,unmatched,,,,,sku_not_in_pdf
1192,1804-5773,گونیا تنظیم زاویه متغیی,unmatched,,,,,sku_not_in_pdf
1193,1804-5774,گونیا تنظیم زاویه متغیی,unmatched,,,,,sku_not_in_pdf
1194,1804-5779,گونیا تنظیم زاویه متغیی,unmatched,,,,,sku_not_in_pdf
1195,1804-5881,گونیا تنظیم زاویه متغیی,unmatched,,,,,sku_not_in_pdf
1196,1804-5991,گونیا تنظیم زاویه متغیی,unmatched,,,,,sku_not_in_pdf
1197,1804-6111,شابلون شعاع گوشه,unmatched,,,,,sku_not_in_pdf
1198,1804-6221,گونیا تنظیم زاویه متغیی,unmatched,,,,,sku_not_in_pdf
1199,1804-6302,زبری سنج دیجیتال پرتابل,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1200,1804-6310,بلوک زبری سنج,matched,1804-6310,3-200mm,,,
1201,1804-6331,گونیا تنظیم زاویه متغیی,unmatched,,,,,sku_not_in_pdf
1202,1804-6663,ست ساعت تراز تیغه با 2رابط بلند,unmatched,,,,,sku_not_in_pdf
1203,1804-6771,برای برش تیک/میی؛.3ظرفیت :S/Mداده زاویه؛.2حالت اندازه ر,unmatched,,,,,sku_not_in_pdf
1204,1804-6881,برای برش تیک/میی؛.3ظرفیت :S/Mداده زاویه؛.2حالت اندازه ر,unmatched,,,,,sku_not_in_pdf
1205,1804-6882,برای برش تیک/میی؛.3ظرفیت :S/Mداده زاویه؛.2حالت اندازه ر,unmatched,,,,,sku_not_in_pdf
1206,1804-6991,برای برش تیک/میی؛.3ظرفیت :S/Mداده زاویه؛.2حالت اندازه ر,unmatched,,,,,sku_not_in_pdf
1207,1804-6993,برای برش تیک/میی؛.3ظرفیت :S/Mداده زاویه؛.2حالت اندازه ر,unmatched,,,,,sku_not_in_pdf
1208,1804-6996,برای برش تیک/میی؛.3ظرفیت :S/Mداده زاویه؛.2حالت اندازه ر,unmatched,,,,,sku_not_in_pdf
1209,1804-7013,میکروسکوپ اندازه گی,unmatched_no_spec_row,,,,,sku_mentioned_but_no_parseable_spec_row
1210,1804-7111,صفحه رفرنس زاویه,unmatched,,,,,sku_not_in_pdf
1211,2000-2005,کولیس دیجیتال 2چیپ خروج — 0-150mm/0-6,matched,2000-2005,"0-150/0-6""","0.01/0.0005""","0.02/0.001""",
1212,2000-2010,کولیس دیجیتال 2چیپ خروج 1 — 0-200mm/0-8,matched,2000-2010,"0-200/0-8""","0.01/0.0005""","0.03/0.0015""",
1213,2000-2015,کولیس دیجیتال 2چیپ خروج 2 — 0-300mm/0-12,matched,2000-2015,"0-300/0-12""","0.01/0.0005""","0.03/0.0015""",
1214,2001-2005,کولیس عمق سنج دیجیتال — 0-150mm/0-6,matched,2001-2005,"0-150/0-6""","0.01/0.005""",±0.03,
1215,2001-2010,سوزن (گرد) ( IP67 2 — 0-200mm/0-8,matched,2001-2010,"0-200/0-8""","0.01/0.005""",±0.03,
1216,2001-2015,سوزن (گرد) ( IP67 2 — 0-300mm/0-12,matched,2001-2015,"0-300/0-12""","0.01/0.005""",±0.04,
1217,2015-1005,کولیس دیجیتال IP67ضد آب و — 0-150mm,matched,2015-1005-A,"0-150/0-6""","0.01/0.0005""/1/128""","0.02/0.001""",
1218,2015-2405,کولیس دیجیتال IP67ضد آب و — 0-150mm/0-6,conflict,2015-2405,,,,"conflict_ranges:['0-150/0-6""', '0-150mm/6', '0-150mm/6""']"
1219,2015-2410,/ کولیس دیجیتال IP67ضد آب و — 0-200mm/0-8,matched,2015-2410,"0-200/0-8""","0.01/0.0005""/1/128""","0.03/0.0015""",
1220,2015-2415,/ کولیس دیجیتال IP67ضد آب و — 0-300mm/0-12,matched,2015-2415,"0-300/0-12""","0.01/0.0005""/1/128""","0.03/0.0015""",
1221,2020-1005,کولیس دیجیتال IP67ضد آب و — 0-150mm,matched,2020-1005-A,"0-150/0-6""","0.01/0.0005""/1/128""","0.02/0.001""",
1222,2035-0006,کولیس پالستییک ساخته شده از فایی — 0-150mm/0-6,matched,2035-0006,"0-150/0-6""","0.01/0.0005""/1/64""",,
1223,2065-1105,کولیس شیار خارج سنج دیجیتال — 0-150mm,matched,2065-1105,"0-150/0-6""","0.03/0.0015""",,
1224,2065-1110,کولیس شیار خارج سنج دیجیتال — 0-200mm,matched,2065-1110,"0-200/0-8""","0.03/0.0015""",,
1225,2065-1115,کولیس شیار خارج سنج دیجیتال — 0-300mm,matched,2065-1115,"0-300/0-12""","0.04/0.0015""",,
1226,2070-1105,کولیس اندازه گی — 0-150mm/ -6,matched,2070-1105,"10-150/0.39-6""","0.03mm/0.0015""",,
1227,2070-1110,کولیس اندازه گی — 0-1110mm,matched,2070-1110,"11-200/0.43-8""","0.01/0.0005""/1/128""",,
1228,2070-1115,کولیس اندازه گی — 0-1115mm,matched,2070-1115,"12-300/0.47-12""","0.01/0.0005""/1/128""",,
1229,2100-1015,کولیس دیجیتال فک متحرک — 0-150mm,matched,2100-1015,20-500mm,"0.01mm/0.0005""",,
1230,2100-1115,کولیس اندازه گی — 0-1115mm,matched,2100-1115,24-150,"0.01/0.0005""","0.04/0.0015""",
1231,2100-1120,کولیس اندازه گی — 0-1120mm,matched,2100-1120,25-200,"0.01/0.0005""","0.04/0.0015""",
1232,2100-1130,کولیس اندازه گی — 0-300mm/1/18-12,matched,2100-1130,30-300,"0.01/0.0005""","0.05/0.002""",
1233,2110-8105,کولیس های متفرقه که تکرار نیم شوند — 0-150mm,unmatched,,,,,sku_not_in_pdf
1234,2115-2305,کولیس های متفرقه که تکرار نیم شوند — 0-150mm,matched,2115-2305,"0-150/0-6""","0.01/0.0005""","0.02/0.001""",
1235,2117-9105,کولیس دیجیتال متال صفحه نمایشگر — 0-150mm/0-6,unmatched,,,,,sku_not_in_pdf
1236,2117-9110,کولیس دیجیتال متال صفحه نمایشگر — 0-200mm/0-8,unmatched,,,,,sku_not_in_pdf
1237,2117-9115,کولیس دیجیتال متال صفحه نمایشگر — 0-300mm/0-12,unmatched,,,,,sku_not_in_pdf
1238,2140-8101,کولیس ورنیه تیپ مونو بالک — 0-31/5,matched,2140-8101,"0-25/0-1""","0.03/0.0015""",,
1239,2140-8105,ضخامت سنج دیجیتال برای ضخامت — 0-25mm/0-1,matched,2140-8105,"0-25/0-1""","0.01/0.0005""/1/64""","0.05/0.002""",
1240,2210-8106,کولیس دیجیتال ابسلوت ضد آب — 0-150mm,unmatched,,,,,sku_not_in_pdf
1241,2220-3570,کولیس دیجیتال فک بلند استنلس استیل IP54خروج — 0-1500mm/0-60,matched,2220-3570,"0-1500/0-60""",,±0.11,
1242,2220-8103,کولیس اندازه گی — 0-500mm/4-20,matched,2220-8103,"100-500/4-20""","0.06/0.0025""",,
1243,2220-8104,کولیس دیجیتال فک بلند استنلس استیل IP54خروج — 0-200mm/0-8,unmatched,,,,,sku_not_in_pdf
1244,2220-8105,کولیس دیجیتال فک بلند استنلس استیل IP54خروج — 0-300mm/0-12,matched,2220-8105,"0-300/0-12""","0.01/0.0005""","0.04/0.002""",
1245,2220-8110,کولیس دیجیتال فک بلند استنلس استیل IP54خروج — 0-500mm/0-20,matched,2220-8110,"0-500/0-20""","0.01/0.0005""","0.05/0.002""",
1246,2220-8115,کولیس دیجیتال فک بلند استنلس استیل IP54خروج — 0-1000mm/0-40,matched,2220-8115,"0-1000/0-40""","0.01/0.0005""","0.06/0.0025""",
1247,2220-8117,کولیس دیجیتال فک بلند استنلس استیل IP54خروج — 0-500mm/0-20,matched,2220-8117,"0-500/0-20""",,±0.16,
1248,2220-8130,کولیس دیجیتال فک بلند استنلس استیل IP54خروج — 0-1000mm/0-40,matched,2220-8130,"0-1000/0-60""",,±0.24,
1249,2220-8135,کولیس دیجیتال فک بلند استنلس استیل IP54خروج — 0-1000mm/0-40,matched,2220-8135,"0-1000/0-60""",,±0.28,
1250,2220-8150,کولیس دیجیتال فک بلند استنلس استیل IP54خروج — 0-600mm/0-24,matched,2220-8150,"0-600/0-24""",,±0.16,
1251,2220-8155,کولیس دیجیتال فک بلند استنلس استیل IP54خروج — 0-800mm/0-32,matched,2220-8155,"0-800/0-32""",,±0.24,
