product_id,db_sku,candidate_oem_model,family,identity_evidence,image_evidence,legacy_fingerprint,required_fact_equivalence,classification,recommended_action
1835,1185-150,1185-150A,EXTERNAL_GROOVE_CALIPER,OEM pdf70/printed62: only A and AWL exist; identical triad,SUPPORTING_ONLY,legacy range often 0-max; accuracy often garbled 0/01 — NON_UNIQUE,IDENTICAL_WITH_PAIR range0-150 res0.01 acc±0.04,RESOLVED_EQUIVALENT_FACTS,MAY_INGEST_V1_AFTER_PT_CREATE; locator model=1185-150A; wireless suffix unresolved
1835,1185-150,1185-150AWL,EXTERNAL_GROOVE_CALIPER,OEM pdf70/printed62: only A and AWL exist; identical triad,SUPPORTING_ONLY,legacy range often 0-max; accuracy often garbled 0/01 — NON_UNIQUE,IDENTICAL_WITH_PAIR range0-150 res0.01 acc±0.04,RESOLVED_EQUIVALENT_FACTS,MAY_INGEST_V1_AFTER_PT_CREATE; locator model=1185-150A; wireless suffix unresolved
1839,1187-150,1187-150A,EXTERNAL_GROOVE_CALIPER,OEM pdf70/printed62: only A and AWL exist; identical triad,SUPPORTING_ONLY,legacy range often 0-max; accuracy often garbled 0/01 — NON_UNIQUE,IDENTICAL_WITH_PAIR range0-150 res0.01 acc±0.04,RESOLVED_EQUIVALENT_FACTS,MAY_INGEST_V1_AFTER_PT_CREATE; locator model=1187-150A; wireless suffix unresolved
1839,1187-150,1187-150AWL,EXTERNAL_GROOVE_CALIPER,OEM pdf70/printed62: only A and AWL exist; identical triad,SUPPORTING_ONLY,legacy range often 0-max; accuracy often garbled 0/01 — NON_UNIQUE,IDENTICAL_WITH_PAIR range0-150 res0.01 acc±0.04,RESOLVED_EQUIVALENT_FACTS,MAY_INGEST_V1_AFTER_PT_CREATE; locator model=1187-150A; wireless suffix unresolved
1801,1123-150,1123-150A,INSIDE_KNIFE_EDGE_CALIPER,OEM pdf73/printed65: only A and AWL exist; identical triad,SUPPORTING_ONLY,legacy range often 0-max; accuracy often garbled 0/01 — NON_UNIQUE,IDENTICAL_WITH_PAIR range15-150 res0.01 acc±0.05,RESOLVED_EQUIVALENT_FACTS,MAY_INGEST_V1_AFTER_PT_CREATE; locator model=1123-150A; wireless suffix unresolved
1801,1123-150,1123-150AWL,INSIDE_KNIFE_EDGE_CALIPER,OEM pdf73/printed65: only A and AWL exist; identical triad,SUPPORTING_ONLY,legacy range often 0-max; accuracy often garbled 0/01 — NON_UNIQUE,IDENTICAL_WITH_PAIR range15-150 res0.01 acc±0.05,RESOLVED_EQUIVALENT_FACTS,MAY_INGEST_V1_AFTER_PT_CREATE; locator model=1123-150A; wireless suffix unresolved
1827,1161-150,1161-150A,TUBE_THICKNESS_CALIPER,OEM pdf83/printed75: only A and AWL exist; identical triad,SUPPORTING_ONLY,legacy range often 0-max; accuracy often garbled 0/01 — NON_UNIQUE,IDENTICAL_WITH_PAIR range0-150 res0.01 acc±0.05,RESOLVED_EQUIVALENT_FACTS,MAY_INGEST_V1_AFTER_PT_CREATE; locator model=1161-150A; wireless suffix unresolved
1827,1161-150,1161-150AWL,TUBE_THICKNESS_CALIPER,OEM pdf83/printed75: only A and AWL exist; identical triad,SUPPORTING_ONLY,legacy range often 0-max; accuracy often garbled 0/01 — NON_UNIQUE,IDENTICAL_WITH_PAIR range0-150 res0.01 acc±0.05,RESOLVED_EQUIVALENT_FACTS,MAY_INGEST_V1_AFTER_PT_CREATE; locator model=1161-150A; wireless suffix unresolved
1834,1183-150,1183-150A,POINT_CALIPER,OEM pdf72/printed64: only A and AWL exist; identical triad,SUPPORTING_ONLY,legacy range often 0-max; accuracy often garbled 0/01 — NON_UNIQUE,IDENTICAL_WITH_PAIR range0-150 res0.01 acc±0.03,RESOLVED_EQUIVALENT_FACTS,MAY_INGEST_V1_AFTER_PT_CREATE; locator model=1183-150A; wireless suffix unresolved
1834,1183-150,1183-150AWL,POINT_CALIPER,OEM pdf72/printed64: only A and AWL exist; identical triad,SUPPORTING_ONLY,legacy range often 0-max; accuracy often garbled 0/01 — NON_UNIQUE,IDENTICAL_WITH_PAIR range0-150 res0.01 acc±0.03,RESOLVED_EQUIVALENT_FACTS,MAY_INGEST_V1_AFTER_PT_CREATE; locator model=1183-150A; wireless suffix unresolved
1836,1186-150,1186-150A,OFFSET_CALIPER,OEM pdf82/printed74: only A and AWL exist; identical triad,SUPPORTING_ONLY,legacy range often 0-max; accuracy often garbled 0/01 — NON_UNIQUE,IDENTICAL_WITH_PAIR range0-150 res0.01 acc±0.04,RESOLVED_EQUIVALENT_FACTS,MAY_INGEST_V1_AFTER_PT_CREATE; locator model=1186-150A; wireless suffix unresolved
1836,1186-150,1186-150AWL,OFFSET_CALIPER,OEM pdf82/printed74: only A and AWL exist; identical triad,SUPPORTING_ONLY,legacy range often 0-max; accuracy often garbled 0/01 — NON_UNIQUE,IDENTICAL_WITH_PAIR range0-150 res0.01 acc±0.04,RESOLVED_EQUIVALENT_FACTS,MAY_INGEST_V1_AFTER_PT_CREATE; locator model=1186-150A; wireless suffix unresolved
1837,1186-200,1186-200A,OFFSET_CALIPER,OEM pdf82/printed74: only A and AWL exist; identical triad,ABSENT,legacy range often 0-max; accuracy often garbled 0/01 — NON_UNIQUE,IDENTICAL_WITH_PAIR range0-200 res0.01 acc±0.04,RESOLVED_EQUIVALENT_FACTS,MAY_INGEST_V1_AFTER_PT_CREATE; locator model=1186-200A; wireless suffix unresolved
1837,1186-200,1186-200AWL,OFFSET_CALIPER,OEM pdf82/printed74: only A and AWL exist; identical triad,ABSENT,legacy range often 0-max; accuracy often garbled 0/01 — NON_UNIQUE,IDENTICAL_WITH_PAIR range0-200 res0.01 acc±0.04,RESOLVED_EQUIVALENT_FACTS,MAY_INGEST_V1_AFTER_PT_CREATE; locator model=1186-200A; wireless suffix unresolved
1838,1186-300,1186-300A,OFFSET_CALIPER,OEM pdf82/printed74: only A and AWL exist; identical triad,ABSENT,legacy range often 0-max; accuracy often garbled 0/01 — NON_UNIQUE,IDENTICAL_WITH_PAIR range0-300 res0.01 acc±0.05,RESOLVED_EQUIVALENT_FACTS,MAY_INGEST_V1_AFTER_PT_CREATE; locator model=1186-300A; wireless suffix unresolved
1838,1186-300,1186-300AWL,OFFSET_CALIPER,OEM pdf82/printed74: only A and AWL exist; identical triad,ABSENT,legacy range often 0-max; accuracy often garbled 0/01 — NON_UNIQUE,IDENTICAL_WITH_PAIR range0-300 res0.01 acc±0.05,RESOLVED_EQUIVALENT_FACTS,MAY_INGEST_V1_AFTER_PT_CREATE; locator model=1186-300A; wireless suffix unresolved
1840,1188-150,1188-150A,BLADE_CALIPER,OEM pdf78/printed70: only A and AWL exist; identical triad,NON_DIAGNOSTIC,legacy range often 0-max; accuracy often garbled 0/01 — NON_UNIQUE,IDENTICAL_WITH_PAIR range0-150 res0.01 acc±0.03,RESOLVED_EQUIVALENT_FACTS,MAY_INGEST_V1_AFTER_PT_CREATE; locator model=1188-150A; wireless suffix unresolved
1840,1188-150,1188-150AWL,BLADE_CALIPER,OEM pdf78/printed70: only A and AWL exist; identical triad,NON_DIAGNOSTIC,legacy range often 0-max; accuracy often garbled 0/01 — NON_UNIQUE,IDENTICAL_WITH_PAIR range0-150 res0.01 acc±0.03,RESOLVED_EQUIVALENT_FACTS,MAY_INGEST_V1_AFTER_PT_CREATE; locator model=1188-150A; wireless suffix unresolved
1802,1123-300,1123-300A,INSIDE_KNIFE_EDGE_CALIPER,OEM pdf73: sole catalogue code for this size (no bare/B/1/P/AWL found),ABSENT,accuracy±0.06; dims L500 a150 b22 c24 match 1123-300A row — UNIQUE_MATCH,SINGLE_VARIANT range24-300 res0.01 acc±0.06,RESOLVED_EXACT,MAY_INGEST_V1_AFTER_PT_CREATE; locator model=1123-300A; DB SKU lacks A suffix
1800,1122-300,1122-300,HOOK_CALIPER,EXACT OEM code on pdf79/printed71; WL twin same triad but distinct SKU,SUPPORTING_ONLY,legacy may conflict on range min; OEM authoritative,SINGLE_EXACT_BASE (+WL twin identical) range4-300 res0.01 acc±0.04,RESOLVED_EXACT,EXACT_READY_FOR_PT_AND_WAVE
1800,1122-300,1122-300WL,HOOK_CALIPER,WL twin exists; DB SKU is non-WL exact,NON_DIAGNOSTIC,N/A,IDENTICAL_TO_BASE,RESOLVED_EXACT_BASE_PREFERRED,DO_NOT_MAP_DB_TO_WL
1828,1169-150,1169-150,POINT_CALIPER,EXACT OEM code on pdf71/printed63; WL twin same triad but distinct SKU,SUPPORTING_ONLY,legacy may conflict on range min; OEM authoritative,SINGLE_EXACT_BASE (+WL twin identical) range0-150 res0.01 acc±0.03,RESOLVED_EXACT,EXACT_READY_FOR_PT_AND_WAVE
1828,1169-150,1169-150WL,POINT_CALIPER,WL twin exists; DB SKU is non-WL exact,NON_DIAGNOSTIC,N/A,IDENTICAL_TO_BASE,RESOLVED_EXACT_BASE_PREFERRED,DO_NOT_MAP_DB_TO_WL
1871,1530-300,1530-300,INTERCHANGEABLE_POINT_CALIPER,EXACT OEM code on pdf61/printed53; WL twin same triad but distinct SKU,SUPPORTING_ONLY,legacy may conflict on range min; OEM authoritative,SINGLE_EXACT_BASE (+WL twin identical) range0-300 res0.01 acc±0.06,RESOLVED_EXACT,EXACT_READY_FOR_PT_AND_WAVE
1871,1530-300,1530-300WL,INTERCHANGEABLE_POINT_CALIPER,WL twin exists; DB SKU is non-WL exact,NON_DIAGNOSTIC,N/A,IDENTICAL_TO_BASE,RESOLVED_EXACT_BASE_PREFERRED,DO_NOT_MAP_DB_TO_WL
1872,1530-500,1530-500,INTERCHANGEABLE_POINT_CALIPER,EXACT OEM code on pdf61/printed53; WL twin same triad but distinct SKU,ABSENT,legacy may conflict on range min; OEM authoritative,SINGLE_EXACT_BASE (+WL twin identical) range0-500 res0.01 acc±0.08,RESOLVED_EXACT,EXACT_READY_FOR_PT_AND_WAVE
1872,1530-500,1530-500WL,INTERCHANGEABLE_POINT_CALIPER,WL twin exists; DB SKU is non-WL exact,NON_DIAGNOSTIC,N/A,IDENTICAL_TO_BASE,RESOLVED_EXACT_BASE_PREFERRED,DO_NOT_MAP_DB_TO_WL
