family,source_file,page,raw_row,raw_sku,normalized_sku,description,raw_price,currency,base_price_toman,confidence,decision,review_reason,duplicate_original_relationship
electric_tapping,/home/shebahati/KaZar/Product and Data Complete/آذرصنعت/AST Power/قلاویززن برقی/کاتالوگ همکاری/همکاری قلاویززن برقی.pdf,1,page 1 کد کالا AST-TRM10,AST-TRM10,AST-TRM10,TRM servo tapping machine M2-M10,,,,high,promote_target_member_review,code_table_no_price;manual_structure,original_preferred_duplicate_skipped_or_conflict
electric_tapping,/home/shebahati/KaZar/Product and Data Complete/آذرصنعت/AST Power/قلاویززن برقی/کاتالوگ همکاری/همکاری قلاویززن برقی.pdf,1,page 1 کد کالا AST-TRM12,AST-TRM12,AST-TRM12,TRM servo tapping machine M2-M12,,,,high,promote_target_member_review,code_table_no_price;manual_structure,original_preferred_duplicate_skipped_or_conflict
electric_tapping,/home/shebahati/KaZar/Product and Data Complete/آذرصنعت/AST Power/قلاویززن برقی/کاتالوگ همکاری/همکاری قلاویززن برقی.pdf,1,page 1 کد کالا AST-TRM16,AST-TRM16,AST-TRM16,TRM servo tapping machine M2-M16,,,,high,promote_target_member_review,code_table_no_price;manual_structure,original_preferred_duplicate_skipped_or_conflict
electric_tapping,/home/shebahati/KaZar/Product and Data Complete/آذرصنعت/AST Power/قلاویززن برقی/کاتالوگ همکاری/همکاری قلاویززن برقی.pdf,1,page 1 کد کالا AST-TRM24,AST-TRM24,AST-TRM24,TRM servo tapping machine M2-M24,,,,high,promote_target_member_review,code_table_no_price;manual_structure,original_preferred_duplicate_skipped_or_conflict
electric_tapping,/home/shebahati/KaZar/Product and Data Complete/آذرصنعت/AST Power/قلاویززن برقی/کاتالوگ همکاری/همکاری قلاویززن برقی.pdf,1,page 1 کد کالا AST-TRM36,AST-TRM36,AST-TRM36,TRM servo tapping machine M2-M36,,,,high,promote_target_member_review,code_table_no_price;manual_structure,original_preferred_duplicate_skipped_or_conflict
electric_tapping,/home/shebahati/KaZar/Product and Data Complete/آذرصنعت/AST Power/قلاویززن برقی/کاتالوگ همکاری/همکاری قلاویززن برقی.pdf,1,page 1 کد کالا AST-TRM48,AST-TRM48,AST-TRM48,TRM servo tapping machine M5-M48,,,,high,promote_target_member_review,code_table_no_price;manual_structure,original_preferred_duplicate_skipped_or_conflict
electric_tapping,/home/shebahati/KaZar/Product and Data Complete/آذرصنعت/AST Power/قلاویززن برقی/کاتالوگ همکاری/همکاری قلاویززن برقی.pdf,2,page 2 کد کالا AST-NSBM10,AST-NSBM10,AST-NSBM10,NSBM servo tapping machine M2-M10,,,,high,promote_target_member_review,code_table_no_price;manual_structure,original_preferred_duplicate_skipped_or_conflict
electric_tapping,/home/shebahati/KaZar/Product and Data Complete/آذرصنعت/AST Power/قلاویززن برقی/کاتالوگ همکاری/همکاری قلاویززن برقی.pdf,2,page 2 کد کالا AST-NSBM12,AST-NSBM12,AST-NSBM12,NSBM servo tapping machine M2-M12,,,,high,promote_target_member_review,code_table_no_price;manual_structure,original_preferred_duplicate_skipped_or_conflict
electric_tapping,/home/shebahati/KaZar/Product and Data Complete/آذرصنعت/AST Power/قلاویززن برقی/کاتالوگ همکاری/همکاری قلاویززن برقی.pdf,2,page 2 کد کالا AST-NSBM16,AST-NSBM16,AST-NSBM16,NSBM servo tapping machine M2-M16,,,,high,promote_target_member_review,code_table_no_price;manual_structure,original_preferred_duplicate_skipped_or_conflict
electric_tapping,/home/shebahati/KaZar/Product and Data Complete/آذرصنعت/AST Power/قلاویززن برقی/کاتالوگ همکاری/همکاری قلاویززن برقی.pdf,2,page 2 کد کالا AST-NSBM24,AST-NSBM24,AST-NSBM24,NSBM servo tapping machine M2-M24,,,,high,promote_target_member_review,code_table_no_price;manual_structure,original_preferred_duplicate_skipped_or_conflict
electric_tapping,/home/shebahati/KaZar/Product and Data Complete/آذرصنعت/AST Power/قلاویززن برقی/کاتالوگ همکاری/همکاری قلاویززن برقی.pdf,2,page 2 کد کالا AST-NSBM36,AST-NSBM36,AST-NSBM36,NSBM servo tapping machine M2-M36,,,,high,promote_target_member_review,code_table_no_price;manual_structure,original_preferred_duplicate_skipped_or_conflict
electric_tapping,/home/shebahati/KaZar/Product and Data Complete/آذرصنعت/AST Power/قلاویززن برقی/کاتالوگ همکاری/همکاری قلاویززن برقی.pdf,3,page 3 کد کالا AST-T800500,AST-T800500,AST-T800500,tapping machine table 500x800,,,,high,promote_target_member_review,code_table_no_price;manual_structure,original_preferred_duplicate_skipped_or_conflict
electric_tapping,/home/shebahati/KaZar/Product and Data Complete/آذرصنعت/AST Power/قلاویززن برقی/کاتالوگ همکاری/همکاری قلاویززن برقی.pdf,3,page 3 کد کالا AST-T900600,AST-T900600,AST-T900600,tapping machine table 600x900,,,,high,promote_target_member_review,code_table_no_price;manual_structure,original_preferred_duplicate_skipped_or_conflict
electric_tapping,/home/shebahati/KaZar/Product and Data Complete/آذرصنعت/AST Power/قلاویززن برقی/کاتالوگ همکاری/همکاری قلاویززن برقی.pdf,4,page 4 کد کالا AST-TAPCHUCK19,AST-TAPCHUCK19,AST-TAPCHUCK19,drill chuck adapter 13mm TC312,,,,high,promote_target_member_review,code_table_no_price;manual_structure,original_preferred_duplicate_skipped_or_conflict
electric_tapping,/home/shebahati/KaZar/Product and Data Complete/آذرصنعت/AST Power/قلاویززن برقی/کاتالوگ همکاری/همکاری قلاویززن برقی.pdf,4,page 4 کد کالا AST-TAPCHUCK31,AST-TAPCHUCK31,AST-TAPCHUCK31,drill chuck adapter 16mm TC820,,,,high,promote_target_member_review,code_table_no_price;manual_structure,original_preferred_duplicate_skipped_or_conflict
electric_tapping,/home/shebahati/KaZar/Product and Data Complete/آذرصنعت/AST Power/قلاویززن برقی/کاتالوگ همکاری/همکاری قلاویززن برقی.pdf,4,page 4 کد کالا AST-DP19,AST-DP19,AST-DP19,angle adapter TC312 M10/12/16,,,,high,promote_target_member_review,code_table_no_price;manual_structure,original_preferred_duplicate_skipped_or_conflict
electric_tapping,/home/shebahati/KaZar/Product and Data Complete/آذرصنعت/AST Power/قلاویززن برقی/کاتالوگ همکاری/همکاری قلاویززن برقی.pdf,4,page 4 کد کالا AST-DP31,AST-DP31,AST-DP31,angle adapter TC820 M24/36/48,,,,high,promote_target_member_review,code_table_no_price;manual_structure,original_preferred_duplicate_skipped_or_conflict
electric_tapping,/home/shebahati/KaZar/Product and Data Complete/آذرصنعت/AST Power/قلاویززن برقی/کاتالوگ همکاری/همکاری قلاویززن برقی.pdf,4,page 4 کد کالا AST-DID19/20,AST-DID19/20,AST-DID19/20,die holder TC312 M3-M6,,,,high,promote_target_member_review,code_table_no_price;manual_structure,original_preferred_duplicate_skipped_or_conflict
electric_tapping,/home/shebahati/KaZar/Product and Data Complete/آذرصنعت/AST Power/قلاویززن برقی/کاتالوگ همکاری/همکاری قلاویززن برقی.pdf,4,page 4 کد کالا AST-DID19/25,AST-DID19/25,AST-DID19/25,die holder TC312 M8,,,,high,promote_target_member_review,code_table_no_price;manual_structure,original_preferred_duplicate_skipped_or_conflict
electric_tapping,/home/shebahati/KaZar/Product and Data Complete/آذرصنعت/AST Power/قلاویززن برقی/کاتالوگ همکاری/همکاری قلاویززن برقی.pdf,4,page 4 کد کالا AST-DID19/30,AST-DID19/30,AST-DID19/30,die holder TC312 M10,,,,high,promote_target_member_review,code_table_no_price;manual_structure,original_preferred_duplicate_skipped_or_conflict
electric_tapping,/home/shebahati/KaZar/Product and Data Complete/آذرصنعت/AST Power/قلاویززن برقی/کاتالوگ همکاری/همکاری قلاویززن برقی.pdf,4,page 4 کد کالا AST-DID19/38,AST-DID19/38,AST-DID19/38,die holder TC312 M12-M14,,,,high,promote_target_member_review,code_table_no_price;manual_structure,original_preferred_duplicate_skipped_or_conflict
electric_tapping,/home/shebahati/KaZar/Product and Data Complete/آذرصنعت/AST Power/قلاویززن برقی/کاتالوگ همکاری/همکاری قلاویززن برقی.pdf,4,page 4 کد کالا AST-DID31/20,AST-DID31/20,AST-DID31/20,die holder M3-M6,,,,high,promote_target_member_review,code_table_no_price;manual_structure,original_preferred_duplicate_skipped_or_conflict
electric_tapping,/home/shebahati/KaZar/Product and Data Complete/آذرصنعت/AST Power/قلاویززن برقی/کاتالوگ همکاری/همکاری قلاویززن برقی.pdf,4,page 4 کد کالا AST-DID31/25,AST-DID31/25,AST-DID31/25,die holder M8,,,,high,promote_target_member_review,code_table_no_price;manual_structure,original_preferred_duplicate_skipped_or_conflict
electric_tapping,/home/shebahati/KaZar/Product and Data Complete/آذرصنعت/AST Power/قلاویززن برقی/کاتالوگ همکاری/همکاری قلاویززن برقی.pdf,4,page 4 کد کالا AST-DID31/30,AST-DID31/30,AST-DID31/30,die holder M10,,,,high,promote_target_member_review,code_table_no_price;manual_structure,original_preferred_duplicate_skipped_or_conflict
electric_tapping,/home/shebahati/KaZar/Product and Data Complete/آذرصنعت/AST Power/قلاویززن برقی/کاتالوگ همکاری/همکاری قلاویززن برقی.pdf,4,page 4 کد کالا AST-DID31/38,AST-DID31/38,AST-DID31/38,die holder M12-M14,,,,high,promote_target_member_review,code_table_no_price;manual_structure,original_preferred_duplicate_skipped_or_conflict
electric_tapping,/home/shebahati/KaZar/Product and Data Complete/آذرصنعت/AST Power/قلاویززن برقی/کاتالوگ همکاری/همکاری قلاویززن برقی.pdf,4,page 4 کد کالا AST-DID31/45,AST-DID31/45,AST-DID31/45,die holder M16-M20,,,,high,promote_target_member_review,code_table_no_price;manual_structure,original_preferred_duplicate_skipped_or_conflict
electric_tapping,/home/shebahati/KaZar/Product and Data Complete/آذرصنعت/AST Power/قلاویززن برقی/کاتالوگ همکاری/همکاری قلاویززن برقی.pdf,4,page 4 کد کالا AST-DID31/55,AST-DID31/55,AST-DID31/55,die holder M22-M24,,,,high,promote_target_member_review,code_table_no_price;manual_structure,original_preferred_duplicate_skipped_or_conflict
electric_tapping,/home/shebahati/KaZar/Product and Data Complete/آذرصنعت/AST Power/قلاویززن برقی/کاتالوگ همکاری/همکاری قلاویززن برقی.pdf,3,M16-Magnetic base,M16-Magnetic base,,,,,,high,reject,descriptive_label_not_manufacturer_sku,original_preferred_duplicate_skipped_or_conflict
electric_tapping,/home/shebahati/KaZar/Product and Data Complete/آذرصنعت/AST Power/قلاویززن برقی/کاتالوگ همکاری/همکاری قلاویززن برقی.pdf,3,M36-Magnetic base,M36-Magnetic base,,,,,,high,reject,descriptive_label_not_manufacturer_sku,original_preferred_duplicate_skipped_or_conflict
electric_tapping,/home/shebahati/KaZar/Product and Data Complete/آذرصنعت/AST Power/قلاویززن برقی/کاتالوگ همکاری/همکاری قلاویززن برقی.pdf,3,M48-Magnetic base,M48-Magnetic base,,,,,,high,reject,descriptive_label_not_manufacturer_sku,original_preferred_duplicate_skipped_or_conflict
magnetic_drill_hole_saws,/home/shebahati/KaZar/Product and Data Complete/آذرصنعت/AST Power/گردبر دریل مگنت/کاتالوگ همکاری/همکاری گردبر.pdf,inspected,,,,"diameter/depth ranges, not discrete SKUs; no price",,,,high,catalog_not_membership,enumerator_is_catalog_or_datasheet_without_sku_table,original_preferred_duplicate_skipped_or_conflict
spade_drills,/home/shebahati/KaZar/Product and Data Complete/آذرصنعت/AST Power/مته برگی/همکاری مته برگی.pdf,3,page 3 کد کالا D20/9.5-11,D20/9.5-11,D20/9.5-11,helical flange spade holder 9.5-11,,,,high,promote_target_member_review,code_table_no_price;manual_structure,original_preferred_duplicate_skipped_or_conflict
spade_drills,/home/shebahati/KaZar/Product and Data Complete/آذرصنعت/AST Power/مته برگی/همکاری مته برگی.pdf,3,page 3 کد کالا D20/11.5-12.5,D20/11.5-12.5,D20/11.5-12.5,helical flange spade holder 11.5-12.5,,,,high,promote_target_member_review,code_table_no_price;manual_structure,original_preferred_duplicate_skipped_or_conflict
spade_drills,/home/shebahati/KaZar/Product and Data Complete/آذرصنعت/AST Power/مته برگی/همکاری مته برگی.pdf,3,page 3 کد کالا D20/13-17.5,D20/13-17.5,D20/13-17.5,helical flange spade holder 13-17.5,,,,high,promote_target_member_review,code_table_no_price;manual_structure,original_preferred_duplicate_skipped_or_conflict
spade_drills,/home/shebahati/KaZar/Product and Data Complete/آذرصنعت/AST Power/مته برگی/همکاری مته برگی.pdf,3,page 3 کد کالا D25/18-24,D25/18-24,D25/18-24,helical flange spade holder 18-24,,,,high,promote_target_member_review,code_table_no_price;manual_structure,original_preferred_duplicate_skipped_or_conflict
spade_drills,/home/shebahati/KaZar/Product and Data Complete/آذرصنعت/AST Power/مته برگی/همکاری مته برگی.pdf,3,page 3 کد کالا D32/25-35,D32/25-35,D32/25-35,helical flange spade holder 25-35,,,,high,promote_target_member_review,code_table_no_price;manual_structure,original_preferred_duplicate_skipped_or_conflict
spade_drills,/home/shebahati/KaZar/Product and Data Complete/آذرصنعت/AST Power/مته برگی/همکاری مته برگی.pdf,3,page 3 کد کالا D40/36-47,D40/36-47,D40/36-47,helical flange spade holder 36-47,,,,high,promote_target_member_review,code_table_no_price;manual_structure,original_preferred_duplicate_skipped_or_conflict
spade_drills,/home/shebahati/KaZar/Product and Data Complete/آذرصنعت/AST Power/مته برگی/همکاری مته برگی.pdf,3,page 3 کد کالا D40/48-65,D40/48-65,D40/48-65,helical flange spade holder 48-65,,,,high,promote_target_member_review,code_table_no_price;manual_structure,original_preferred_duplicate_skipped_or_conflict
spade_drills,/home/shebahati/KaZar/Product and Data Complete/آذرصنعت/AST Power/مته برگی/همکاری مته برگی.pdf,4,page 4 کد کالا ATH2-9.511,ATH2-9.511,ATH2-9.511,Morse 4D spade holder 9.5-11,,,,high,promote_target_member_review,code_table_no_price;manual_structure,original_preferred_duplicate_skipped_or_conflict
spade_drills,/home/shebahati/KaZar/Product and Data Complete/آذرصنعت/AST Power/مته برگی/همکاری مته برگی.pdf,4,page 4 کد کالا ATH2-11.512.5,ATH2-11.512.5,ATH2-11.512.5,Morse 4D spade holder 11.5-12.5,,,,high,promote_target_member_review,code_table_no_price;manual_structure,original_preferred_duplicate_skipped_or_conflict
spade_drills,/home/shebahati/KaZar/Product and Data Complete/آذرصنعت/AST Power/مته برگی/همکاری مته برگی.pdf,4,page 4 کد کالا ATH2-1317.5,ATH2-1317.5,ATH2-1317.5,Morse 4D spade holder 13-17.5,,,,high,promote_target_member_review,code_table_no_price;manual_structure,original_preferred_duplicate_skipped_or_conflict
spade_drills,/home/shebahati/KaZar/Product and Data Complete/آذرصنعت/AST Power/مته برگی/همکاری مته برگی.pdf,4,page 4 کد کالا ATH3-1824,ATH3-1824,ATH3-1824,Morse 4D spade holder 18-24,,,,high,promote_target_member_review,code_table_no_price;manual_structure,original_preferred_duplicate_skipped_or_conflict
spade_drills,/home/shebahati/KaZar/Product and Data Complete/آذرصنعت/AST Power/مته برگی/همکاری مته برگی.pdf,4,page 4 کد کالا ATH4-2535,ATH4-2535,ATH4-2535,Morse 4D spade holder 25-35,,,,high,promote_target_member_review,code_table_no_price;manual_structure,original_preferred_duplicate_skipped_or_conflict
spade_drills,/home/shebahati/KaZar/Product and Data Complete/آذرصنعت/AST Power/مته برگی/همکاری مته برگی.pdf,4,page 4 کد کالا ATH4-3647,ATH4-3647,ATH4-3647,Morse 4D spade holder 36-47,,,,high,promote_target_member_review,code_table_no_price;manual_structure,original_preferred_duplicate_skipped_or_conflict
spade_drills,/home/shebahati/KaZar/Product and Data Complete/آذرصنعت/AST Power/مته برگی/همکاری مته برگی.pdf,4,page 4 کد کالا ATH5-4865,ATH5-4865,ATH5-4865,Morse 4D spade holder 48-65,,,,high,promote_target_member_review,code_table_no_price;manual_structure,original_preferred_duplicate_skipped_or_conflict
spade_drills,/home/shebahati/KaZar/Product and Data Complete/آذرصنعت/AST Power/مته برگی/همکاری مته برگی.pdf,4,page 4 کد کالا ATH5-6488,ATH5-6488,ATH5-6488,Morse 4D spade holder 64-88,,,,high,promote_target_member_review,code_table_no_price;manual_structure,original_preferred_duplicate_skipped_or_conflict
spade_drills,/home/shebahati/KaZar/Product and Data Complete/آذرصنعت/AST Power/مته برگی/همکاری مته برگی.pdf,4,page 4 کد کالا ATH5-90114,ATH5-90114,ATH5-90114,Morse 4D spade holder 90-114,,,,high,promote_target_member_review,code_table_no_price;manual_structure,original_preferred_duplicate_skipped_or_conflict
spade_drills,/home/shebahati/KaZar/Product and Data Complete/آذرصنعت/AST Power/مته برگی/همکاری مته برگی.pdf,5,page 5 کد کالا 437201,437201,437201,oil ring 9.5-17.5,,,,high,promote_target_member_review,code_table_no_price;manual_structure,original_preferred_duplicate_skipped_or_conflict
spade_drills,/home/shebahati/KaZar/Product and Data Complete/آذرصنعت/AST Power/مته برگی/همکاری مته برگی.pdf,5,page 5 کد کالا 437202,437202,437202,oil ring 18-35,,,,high,promote_target_member_review,code_table_no_price;manual_structure,original_preferred_duplicate_skipped_or_conflict
spade_drills,/home/shebahati/KaZar/Product and Data Complete/آذرصنعت/AST Power/مته برگی/همکاری مته برگی.pdf,5,page 5 کد کالا 437203,437203,437203,oil ring 36-47,,,,high,promote_target_member_review,code_table_no_price;manual_structure,original_preferred_duplicate_skipped_or_conflict
spade_drills,/home/shebahati/KaZar/Product and Data Complete/آذرصنعت/AST Power/مته برگی/همکاری مته برگی.pdf,5,page 5 کد کالا 437204,437204,437204,oil ring 48-65,,,,high,promote_target_member_review,code_table_no_price;manual_structure,original_preferred_duplicate_skipped_or_conflict
spade_drills,/home/shebahati/KaZar/Product and Data Complete/آذرصنعت/AST Power/مته برگی/همکاری مته برگی.pdf,5,page 5 کد کالا 437205,437205,437205,oil ring 64-114,,,,high,promote_target_member_review,code_table_no_price;manual_structure,original_preferred_duplicate_skipped_or_conflict
